"week_end_date","region","copies_per_day_per_person","population_covered","n_sites"
"2023-11-05","Auckland","6559152","1355000","4"
"2023-11-05","Nelson","1756484","86000","2"
"2023-11-05","West Coast","270339","15000","2"
"2023-10-29","Wellington","4637817","459200","6"
"2023-10-29","Hawke's Bay","5474256","135000","2"
"2023-10-29","West Coast","96667","15000","2"
"2023-10-29","Taranaki","3829562","100000","2"
"2023-10-29","Southland","7749416","50000","1"
"2023-10-29","Otago","3720491","161500","4"
"2023-10-29","Northland","1728394","5000","1"
"2023-10-29","Canterbury","2631729","449000","4"
"2023-10-29","Manawatu-Whanganui","7570759","155700","3"
"2023-10-29","Bay of Plenty","3057097","202020","5"
"2023-10-29","Waikato","3485391","192000","2"
"2023-10-29","Auckland","5393850","1355000","4"
"2023-10-29","Nelson","2750033","86000","2"
"2023-10-22","Auckland","2519403","1355000","4"
"2023-10-22","Northland","1102607","65000","1"
"2023-10-22","Marlborough","2598857","31000","1"
"2023-10-22","Waikato","1808796","198600","3"
"2023-10-22","Taranaki","3382327","100000","2"
"2023-10-22","Otago","4280752","161500","4"
"2023-10-22","Nelson","3241826","26000","1"
"2023-10-22","Southland","906329","58000","2"
"2023-10-22","Wellington","2069934","459200","6"
"2023-10-22","West Coast","113183","10000","1"
"2023-10-22","Manawatu-Whanganui","3784582","155700","3"
"2023-10-22","Gisborne","160797","37000","1"
"2023-10-22","Bay of Plenty","3654696","202020","5"
"2023-10-22","Canterbury","1985444","431000","3"
"2023-10-22","Hawke's Bay","2638318","135000","2"
"2023-10-15","Hawke's Bay","3058233","135000","2"
"2023-10-15","Canterbury","2309586","449000","4"
"2023-10-15","Marlborough","506650","31000","1"
"2023-10-15","Northland","352845","70000","2"
"2023-10-15","Otago","2250768","161500","4"
"2023-10-15","Bay of Plenty","2163204","202020","5"
"2023-10-15","Nelson","1374339","86000","2"
"2023-10-15","Southland","984219","58000","2"
"2023-10-15","Wellington","1236462","459200","6"
"2023-10-15","Auckland","2887018","1355000","4"
"2023-10-15","Waikato","4658991","198600","3"
"2023-10-15","Manawatu-Whanganui","2267069","155700","3"
"2023-10-15","Taranaki","4962647","100000","2"
"2023-10-08","Marlborough","2556075","31000","1"
"2023-10-08","Hawke's Bay","4373060","135000","2"
"2023-10-08","Northland","1925148","70000","2"
"2023-10-08","Auckland","2590434","1355000","4"
"2023-10-08","Waikato","1885902","198600","3"
"2023-10-08","Bay of Plenty","1469083","202020","5"
"2023-10-08","West Coast","1144067","15000","2"
"2023-10-08","Canterbury","2653915","449000","4"
"2023-10-08","Taranaki","1985161","100000","2"
"2023-10-08","Otago","2308992","161500","4"
"2023-10-08","Southland","3915042","58000","2"
"2023-10-08","Wellington","2515870","459200","6"
"2023-10-08","Nelson","2155981","86000","2"
"2023-10-08","Manawatu-Whanganui","2258500","155700","3"
"2023-10-01","Canterbury","2125066","449000","4"
"2023-10-01","Bay of Plenty","2538647","202020","5"
"2023-10-01","Auckland","1619295","1355000","4"
"2023-10-01","Taranaki","1308333","100000","2"
"2023-10-01","Nelson","2741020","26000","1"
"2023-10-01","Waikato","1112070","198600","3"
"2023-10-01","Wellington","2730674","459200","6"
"2023-10-01","Marlborough","5720707","31000","1"
"2023-10-01","Southland","3889182","58000","2"
"2023-10-01","West Coast","84800","5000","1"
"2023-10-01","Otago","1460195","161500","4"
"2023-10-01","Northland","1933418","70000","2"
"2023-10-01","Gisborne","325977","37000","1"
"2023-10-01","Hawke's Bay","4765798","135000","2"
"2023-10-01","Manawatu-Whanganui","1917528","155700","3"
"2023-09-24","Southland","400423","58000","2"
"2023-09-24","West Coast","2348281","5000","1"
"2023-09-24","Marlborough","2415586","31000","1"
"2023-09-24","Wellington","3328863","459200","6"
"2023-09-24","Taranaki","1340739","100000","2"
"2023-09-24","Waikato","1752408","198600","3"
"2023-09-24","Manawatu-Whanganui","2207367","155700","3"
"2023-09-24","Otago","2340728","161500","4"
"2023-09-24","Hawke's Bay","4691207","135000","2"
"2023-09-24","Gisborne","1916572","37000","1"
"2023-09-24","Nelson","2234617","26000","1"
"2023-09-24","Northland","2322577","65000","1"
"2023-09-24","Canterbury","2455629","421000","3"
"2023-09-24","Auckland","1540575","1355000","4"
"2023-09-24","Bay of Plenty","3342023","202020","5"
"2023-09-17","Waikato","3166119","192000","2"
"2023-09-17","Taranaki","2115559","100000","2"
"2023-09-17","Tasman","4031974","8300","1"
"2023-09-17","Manawatu-Whanganui","2151553","155700","3"
"2023-09-17","Gisborne","2497502","37000","1"
"2023-09-17","Otago","2356398","161500","4"
"2023-09-17","Nelson","1699214","26000","1"
